flux_fraction,E0-E0_GHz,E1-E0_GHz,E2-E0_GHz,E3-E0_GHz,E4-E0_GHz,E5-E0_GHz
0.41000000000000003,0.0,1.6557768450218782,9.875479381369479,13.060458725915248,16.260198574531973,18.96464687121246
0.41500000000000004,0.0,1.5683781373972605,9.848206148606504,13.008487258844095,16.336219776809493,18.925969639562133
0.42,0.0,1.4812499371872345,9.820240995206795,12.956905341945014,16.411710941637907,18.88569320126248
0.425,0.0,1.3944444862940093,9.791592943795342,12.905780371766202,16.486555301937138,18.843656766760382
0.43,0.0,1.3080275692719496,9.762278129532678,12.855182758054578,16.560621478878595,18.799671970220892
0.435,0.0,1.222083130265158,9.732322205768217,12.805188675336424,16.633758393691988,18.753522058156953
0.44,0.0,1.1367198534042489,9.701763733894404,12.755883686992691,16.705788794432326,18.704964808152013
0.445,0.0,1.0520807131322842,9.670659059676195,12.707367769079015,16.776500764798016,18.65374252611311
0.45,0.0,0.9683571015154058,9.639089478481889,12.659762556030454,16.84563628920617,18.599604431409954
0.455,0.0,0.8858101385456036,9.607171991201454,12.613222125871829,16.91287549333613,18.542349308467053
0.46,0.0,0.8048034367633895,9.575075785193508,12.567949472229873,16.977814487801847,18.48189922590962
0.465,0.0,0.7258543226633226,9.543047940102142,12.524222173746644,17.039933754513232,18.418417797157577
0.47000000000000003,0.0,0.6497147338179947,9.511453966574932,12.482432877992045,17.09855284073207,18.352488016025998
0.47500000000000003,0.0,0.5774983882350939,9.48084147470198,12.443152904395191,17.152766605821427,18.285363834998222
0.48,0.0,0.5108730864626567,9.452036401030224,12.407228401610041,17.20136166547948,18.21930121485918
0.485,0.0,0.4523174842531297,9.426271461729936,12.375908732458495,17.242728591239388,18.157935089128703
0.49,0.0,0.405345080996379,9.405298203310027,12.35095846250447,17.274835083371745,18.106528381776
0.495,0.0,0.3743427666269855,9.39130632118221,12.334576626351836,17.295413599387306,18.071589195936173
0.5,0.0,0.36342136729146624,9.386348965358254,12.328821993896744,17.30253356481364,18.059099788453626
0.505,0.0,0.3743427664313762,9.391306320970527,12.334576626336899,17.295413599241012,18.071589194886545
0.51,0.0,0.40534508063530117,9.405298202901935,12.35095846248963,17.274835083034876,18.1065283797987
0.515,0.0,0.452317483767749,9.426271461146474,12.375908732463948,17.242728590652654,18.157935086416835
0.52,0.0,0.5108730858899746,9.452036400290563,12.407228401654063,17.201361664595623,18.21930121162854
0.525,0.0,0.5774983876021716,9.480841473820407,12.443152904490743,17.152766604613355,18.28536383146291
0.53,0.0,0.6497147331432466,9.511453965561786,12.482432878147726,17.098552839190482,18.352488012388456
0.535,0.0,0.7258543219590615,9.543047938964959,12.5242221739681,17.0399337526411,18.418417793601822
0.54,0.0,0.8048034360382412,9.575075783937951,12.56794947252061,16.977814485609457,18.481899222595104
0.545,0.0,0.8858101378051364,9.607171989831949,12.613222126233724,16.912875490837294,18.542349305524453
0.55,0.0,0.9683571007635944,9.639089477002239,12.659762556464646,16.845636286416575,18.599604428939987
0.555,0.0,1.0520807123718992,9.670659058089676,12.707367769586002,16.776500761733473,18.653742524188477
0.56,0.0,1.1367198526376279,9.701763732204395,12.755883687572545,16.70578879110818,18.70496480682109
0.5650000000000001,0.0,1.2220831294935848,9.73232220397755,12.805188675988791,16.633758390122807,18.75352205744785
0.5700000000000001,0.0,1.3080275684969513,9.762278127644592,12.855182758779307,16.56062147507805,18.799671970146214
0.5750000000000001,0.0,1.3944444855162585,9.791592941812487,12.905780372562544,16.486555297917405,18.843656767320425
0.58,0.0,1.4812499364076388,9.82024099313227,12.956905342812394,16.411710937410433,18.885693202449012
0.585,0.0,1.5683781366163592,9.84820614644325,13.008487259781866,16.336219772384347,18.925969641360084
0.59,0.0,1.6557768442402439,9.875479379120591,13.060458726922764,16.260198569918455,18.96464687360242
0.595,0.0,1.743404065173188,9.902057039752538,13.112753129731109,16.183753634639302,19.001860661673078
0.6,0.0,1.8312256642285674,9.927939563765952,13.165302675468746,16.106984347737182,19.037724908657587
0.605,0.0,1.9192136074890467,9.953130509138521,13.218036510869137,16.02998635322144,19.072334856032008
0.61,0.0,2.0073446513605053,9.977635820312754,13.270878750523195,15.95285461083886,19.10577003167479
0.615,0.0,2.0955993523781133,10.001463257567572,13.323746250517365,15.875686522830794,19.138096838878116
0.62,0.0,2.183961310477204,10.02462194831383,13.376545942564563,15.79858535268381,19.16937076660721
0.625,0.0,2.2724165843566366,10.047122029615599,13.429171502033407,15.721664189196195,19.199638244411798
0.63,0.0,2.3609532352006153,10.068974359958817,13.481499054327108,15.645050772861483,19.228938183182777
0.635,0.0,2.449560967197474,10.09019028427727,13.533381520011673,15.568893601454157,19.2573032474578
